Manager of the Esenler branch is Derem Acar.
There is no such employee.
There is no such employee.
There is no such employee.
Karin Akpinar is dismissed from branch: Keles.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Melodi Sari is dismissed from branch: Sivrice.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Oguzeli branch this month are: 2628
There is no such employee.
Total bonuses for the Gursu branch are: 138742
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Karsel branch this month are: 2896
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Gursu branch this month are: 4606
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Yedisu branch are: 136963
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Konak branch this month are: 4193
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Mahinur Aydin is dismissed from branch: Oguzeli.
There is no such employee.
Arzu Kose is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Aysu Ipek is dismissed from branch: Tire.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Battalgazi branch this month are: 3458
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Konak branch this month are: 4332
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Kafiye Koc is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Total bonuses for the Hacibektas branch are: 127136
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Gerçek Kocak is dismissed from branch: Oguzeli.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Ezra Demirci is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Baskil branch are: 135141
There is no such employee.
Durukan Uzun is dismissed from branch: Beypazari.
There is no such employee.
Gaffar Ceylan is dismissed from branch: Merkez.
There is no such employee.
Total bonuses for the Sariyer branch this month are: 4547
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Cubuk branch this month are: 3658
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Gencaslan Aydemir is dismissed from branch: Acigol.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Arapgir branch this month are: 4721
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Ishak Uzun is dismissed from branch: Gaziemir.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Beypazari branch this month are: 4600
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Elmadag branch this month are: 4928
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Acigol branch are: 130480
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Kulp branch this month are: 3599
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Canece Celik is dismissed from branch: Oguzeli.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Dayehatun Senol is dismissed from branch: Pursaklar.
Total bonuses for the Oguzeli branch this month are: 3006
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Hamra Kilicaslan is dismissed from branch: Kestel.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Mahsure Karahan is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Karakocan branch is Canfeza Toprak.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Cubuk branch are: 129769
Total bonuses for the Odemis branch this month are: 4422
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Baglar branch is Kamer Guler.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Doğannur Arslan is dismissed from branch: Beyoglu.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Bagcilar branch are: 130964
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Hazro branch this month are: 3767
There is no such employee.
There is no such employee.
Dalım Yilmaz is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Kartal branch this month are: 5235
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Ayhan Gurbuz is dismissed from branch: Osmangazi.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Kulp branch this month are: 4664
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Hamza Acar is dismissed from branch: Keban.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Esenler branch this month are: 5444
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Orhaneli branch this month are: 5115
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Evren branch this month are: 3753
There is no such employee.
There is no such employee.
Total bonuses for the Esenler branch this month are: 5444
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Solhan branch this month are: 3186
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Beypazari branch are: 134053
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Gungoren branch this month are: 3853
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Akyurt branch this month are: 5390
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Menemen branch are: 137659
Total bonuses for the Evren branch are: 129904
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Bahcelievler branch is Bergen Mengi.
There is no such employee.
There is no such employee.
There is no such employee.
Gevher Aydogan is dismissed from branch: Sancaktepe.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Gazele Yildiz is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Yayladere branch this month are: 242
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Gursu branch this month are: 174
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Yazihan branch this month are: 431
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Jengar Erkan is dismissed from branch: Konak.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Derinkuyu branch this month are: 137
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Elacık Ozturk is dismissed from branch: Beypazari.
There is no such employee.
Karsel Toprak is dismissed from branch: Sivrice.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Arguvan branch this month are: 45
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Sivrice branch this month are: 432
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Aysu Akbas is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Habide Durmaz is dismissed from branch: Dicle.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Hurel Demir is dismissed from branch: Orhaneli.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Sile branch this month are: 457
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Arguvan branch this month are: 267
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Haktan Aytac is dismissed from branch: Arguvan.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Karkamis branch this month are: 721
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Sivrice branch this month are: 835
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Beyoglu branch this month are: 621
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Janseli Yuksel is dismissed from branch: Bahcelievler.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Jeyan Yildirim is dismissed from branch: Gursu.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Beyoglu branch this month are: 621
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Acer Yildiz is dismissed from branch: Yedisu.
Total bonuses for the Hacibektas branch this month are: 1014
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Keban branch is Dünya Acar.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Torbali branch are: 139712
There is no such employee.
Abad Aslan is dismissed from branch: Yayladere.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Manager of the Fatih branch is Ihsan Kara.
There is no such employee.
There is no such employee.
There is no such employee.
Kaila/Kayla Dagdelen is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
Total bonuses for the Acigol branch are: 131764
There is no such employee.
There is no such employee.
Total bonuses for the Baglar branch this month are: 1569
Total bonuses for the Cigli branch are: 143291
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Odemis branch are: 140609
There is no such employee.
There is no such employee.
Derem Yilmaz is dismissed from branch: Sancaktepe.
Total bonuses for the Baskil branch this month are: 1515
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Buyukcekmece branch this month are: 898
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Evren branch are: 131096
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Esenler branch are: 140494
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Dilfiruz Kilicaslan is dismissed from branch: Haymana.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Ferdi Kaya is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Evren branch this month are: 1182
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Dal Aydin is dismissed from branch: Arapgir.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Buyukorhan branch this month are: 1465
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Afet Celik is dismissed from branch: Sancaktepe.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Darcan Kocak is dismissed from branch: Orhangazi.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Eyup branch this month are: 1900
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Merkez branch this month are: 2449
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Ediz Gurbuz is dismissed from branch: Oguzeli.
There is no such employee.
Total bonuses for the Keles branch this month are: 1757
There is no such employee.
Ecem Alkan is dismissed from branch: Gursu.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Solhan branch are: 136508
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Abaza Buyuk is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Dilemma Ekinci is promoted from Cashier to Cook.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Karakocan branch this month are: 2251
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Bismil branch this month are: 1430
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Ebubekir Ekinci is dismissed from branch: Yenimahalle.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Sereflikochisar branch are: 136028
There is no such employee.
Total bonuses for the Cinar branch are: 135868
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Sereflikochisar branch this month are: 2582
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
Ferdi Yilmazer is dismissed from branch: Solhan.
There is no such employee.
There is no such employee.
There is no such employee.
Total bonuses for the Kartal branch this month are: 1829
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
There is no such employee.
